x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
5.2,0.34,0.37,66.5,6.2,0.031,0.995369278,42,0.511883361,1.02,133,0.99076,3.25,0.41,12.5,6
6.1,0.41,0,43.5,1.6,0.063,0.995690715,36,0.514547753,1.23,87,0.9914,3.27,0.67,10.8,6
7.5,0.26,0.3,46,4.6,0.027,0.995414487,29,0.498310554,0.78,92,0.99085,3.15,0.38,12,7
7.4,0.2,0.29,50,1.7,0.047,0.99620781,16,0.515873844,0.6,100,0.99243,3.28,0.45,10.6,6
7.3,0.23,0.24,43,0.9,0.031,0.994615504,29,0.462397998,0.69,86,0.98926,2.9,0.38,12.2,6
6.6,,,71.5,13,0.052,0.999124617,18,0.527629901,,143,0.99825,3.37,0.49,9.4,6
9.1,0.28,0.49,56,2,0.059,0.99789779,10,0.498310554,0.84,112,0.9958,3.15,0.46,10.1,5
7.5,0.35,0.48,88.25,12.4,0.056,0.999014514,61,0.472756449,1.05,176.5,0.99803,2.97,0.52,,5
7.4,0.31,0.48,102,14.2,0.042,0.999149638,62,0.485721426,0.93,204,0.9983,3.06,0.59,9.4,5
6.9,0.33,0.31,67.5,7.7,0.04,0.996122482,29,0.492760389,0.99,135,0.99226,3.11,0.57,12.3,5
6.9,0.19,0.35,75,5,0.067,0.997496867,32,0.526339277,0.57,150,0.995,3.36,0.48,9.8,5
7.6,0.31,0.29,72.5,10.5,0.04,0.998298553,21,0.482873584,0.93,145,0.9966,3.04,0.35,9.4,5
6.4,0.24,0.22,78.5,1.5,0.038,0.996694537,38,0.532754379,0.72,157,0.9934,3.41,0.55,9.9,6
6.4,0.69,0.09,72,7.6,0.044,0.997396611,34,0.5132176,2.07,144,0.9948,3.26,0.38,10.1,6
7.2,0.31,0.24,58.5,1.4,0.057,0.996393497,17,0.499687083,0.93,117,0.9928,3.16,0.35,10.5,5
7.3,0.22,0.41,95.5,15.4,0.05,1,55,0.521138084,0.66,191,1,3.32,0.59,,6
6.1,0.3,0.47,93.5,1.4,0.049,0.996343314,50,0.503790683,0.9,187,0.9927,3.19,0.45,9.5,5
6.7,0.24,0.41,74,8.7,0.036,0.997597113,29,0.507855872,0.72,148,0.9952,3.22,0.62,9.9,6
6.6,0.2,0.27,65,10.9,0.038,0.997476817,29,0.492760389,0.6,130,0.99496,3.11,0.44,10.5,7
6.3,0.37,0.51,73,6.3,0.048,0.997145927,35,0.491361694,1.11,146,0.9943,3.1,1.01,10.5,6
6.4,0.34,0.44,100.5,8.2,0.043,0.997752474,54,0.50242712,1.02,201,0.99551,3.18,0.48,9.5,5
6.5,0.24,0.39,63,17.3,0.052,0.999439843,22,0.492760389,0.72,126,0.99888,3.11,0.47,9.2,6
6.3,0.17,0.32,58.5,4.2,0.04,0.995901602,37,0.51054501,0.51,117,0.99182,3.24,0.43,11.3,6
6.5,0.41,0.24,56.5,14,0.048,0.999099595,24,0.536558443,1.23,113,0.9982,3.44,0.53,9.8,6
6.6,0.18,0.26,74.5,17.3,0.051,0.99919968,17,0.477121255,0.54,149,0.9984,3,0.43,9.4,6
8.1,0.5,0.47,63,1.1,0.037,0.99689518,23,0.506505032,1.5,126,0.9938,3.21,0.42,10.9,5
7.2,0.25,0.32,52.5,1.5,0.054,0.995761016,24,0.501059262,0.75,105,0.99154,3.17,0.48,11.1,6
7.3,0.28,0.54,81.25,12.9,0.049,0.99919968,62,0.485721426,0.84,162.5,0.9984,3.06,0.45,9.1,6
6.2,,0.27,64.5,16.8,0.04,0.998453805,48,0.509202522,,129,0.99691,3.23,0.38,10.5,6
6.7,0.265,,99,8.6,0.048,0.997747463,54,0.511883361,0.795,198,0.9955,3.25,0.41,10.2,5
6.6,0.26,,69.5,18.15,0.05,0.999519885,23,0.485721426,0.78,139,0.99904,3.06,0.5,9.2,5
6.1,0.33,,91.5,7.8,0.052,0.998283527,52,0.530199698,0.99,183,0.99657,3.39,0.65,9.5,5
8.2,0.2,0.49,54,3.5,0.057,0.996393497,14,0.503790683,0.6,108,0.9928,3.19,0.35,11.5,6
